id,imdbId,title,release_date,original_language,vote_average,vote_count,budget,revenue,runtime,genres_id,countries_id,companies_id,year,test,binary,directors_id,writers_id
7350,tt0825232,The Bucket List,25/00/2007,en,7.0,1014,45000000,175372502,97,18 35,US,17049 70994 86256,2007,notalk,FAIL,3026,52599
2268,tt0385752,The Golden Compass,04/00/2007,en,5.7,1157,180000000,372234864,113,12 14,GB US,12 289 1473 1938,2007,pass,PASS,3288,3288
14432,tt0446463,The Secret,10/00/2007,en,6.2,18,0,0,92,18 10749,CA,,2007,pass,PASS,20239,76879 76881
1571,tt0337978,Live Free or Die Hard,20/00/2007,en,6.4,1929,110000000,383531464,128,28 53,GB US,289 306 444 890 11845,2007,notalk,FAIL,3950,18189
28871,tt0887745,How About You...,16/00/2007,en,6.2,13,9000000,706000,100,35 18,IE,,2007,pass,PASS,233263,33387
2284,tt0457419,Mr. Magorium's Wonder Emporium,14/00/2007,en,5.9,316,0,69474661,93,35,CA US,771 1811 10221 11576 66078,2007,nowomen,FAIL,,
8836,tt0443701,The X Files: I Want to Believe,24/00/2008,en,5.5,496,30000000,68369434,104,18 9648 878 53,CA US,306 545 6332 52145,2008,pass,PASS,12524,12524 12627
24450,tt0874425,Pretty Ugly People,18/00/2009,en,4.3,11,0,0,99,35,US,,2009,pass,PASS,55789,55789
7840,tt0443649,"10,000 BC",22/00/2008,en,5.1,829,105000000,266000000,109,12 28 18 14,US ZA,347 923 6194 9137 10884,2008,notalk,FAIL,6046,5430 6046
12568,tt0412536,Brideshead Revisited,25/00/2008,en,6.2,51,20000000,13204291,133,18 10749,IT MA GB,288 1267 2395 2452 2689 8881 11558 11559,2008,notalk,FAIL,29226,35005 9156
29989,tt0964586,Skin,24/00/2009,en,6.8,10,0,0,107,18,ZA GB,,2009,pass,PASS,936014,936015 936016 99383
13855,tt1190539,The Chaser,14/00/2008,ko,7.7,224,0,0,125,80 18 53,KR,11589 11590 11591 11592,2008,nowomen,FAIL,1296119,75918 1029562 1296119
17893,tt1206285,Camino,16/00/2008,es,7.2,37,0,0,143,18,ES,12010,2008,pass,PASS,56470,56470
14353,tt0963194,Repo! The Genetic Opera,18/00/2008,en,6.6,90,0,188126,98,27 35 10402 878,US,35 2061,2008,pass,PASS,2675,
10188,tt1018785,The Sisterhood of the Traveling Pants 2,06/00/2008,en,6.0,214,27000000,44352417,117,12 35 18 10751,US,,2008,pass,PASS,64140,59187
7461,tt0443274,Vantage Point,01/00/2008,en,6.2,667,40000000,151161491,90,18 28 53 80,US,5 333 4169 7295 31604,2008,pass,PASS,43141,52680
9029,tt1033643,What Happens in Vegas,07/00/2008,en,5.8,836,35000000,170000000,99,35 10749,US,306 508 748 2575 4916 6332,2008,pass,PASS,56717,56718
1724,tt0800080,The Incredible Hulk,12/00/2008,en,6.1,2694,150000000,163712074,114,878 28 12,US,33 420 11533 25121,2008,notalk,FAIL,18865,11011
12837,tt0416212,The Secret Life of Bees,17/00/2008,en,7.3,139,11000000,38105395,114,12,US,43 431 6332 12485,2008,pass,PASS,71947,71947
19173,tt1111890,Diary of a Nymphomaniac,14/00/2008,es,5.7,61,0,0,95,18 10749,ES,3631 7660,2008,pass,PASS,81159,
12184,tt0467200,The Other Boleyn Girl,28/00/2008,en,6.4,412,35000000,0,115,18,GB US,5 258 288 2054 7295 10146,2008,pass,PASS,71570,
6557,tt0988595,27 Dresses,10/00/2008,en,6.1,873,30000000,160259319,111,35 10749,US,158 711 6332,2008,pass,PASS,29214,10567
13053,tt0397892,Bolt,21/00/2008,en,6.3,1559,150000000,309979994,98,16 10751 12 35,US,6125,2008,pass,PASS,70238 76595,15892 70238
28424,tt0896031,The Loss of a Teardrop Diamond,01/00/2008,en,5.6,8,0,0,102,18 10749,US,4801 13808 14941,2008,pass,PASS,100771,3634
10139,tt1013753,Milk,26/00/2008,en,7.1,558,20000000,54586584,128,36 18,US,10146,2008,notalk,FAIL,5216,123997
14359,tt0918927,Doubt,27/00/2008,en,7.0,385,20000000,50907234,104,18 9648,US,258 3534,2008,pass,PASS,26095,26095
8276,tt1068649,I've Loved You So Long,19/00/2008,fr,7.1,67,0,0,115,18,DE FR,1475,2008,pass,PASS,54273,54273
13613,tt0489018,Day of the Dead,08/00/2008,en,4.7,93,18000000,0,86,27 28 53,US,4824 10254 10405 22443 52004,2008,pass,PASS,58712,57429
12471,tt1284591,Milk,01/00/2008,en,6.3,7,0,0,102,18,DE FR TR,,2008,notalk,FAIL,130402,130402 905370
12163,tt1125849,The Wrestler,07/00/2008,en,7.3,900,6000000,44703995,109,18 10749,US,831 856 7503 7504,2008,notalk,FAIL,6431,103041
10201,tt1068680,Yes Man,09/00/2008,en,6.3,1624,70000000,225990978,104,35 10749,US,80 437 6194,2008,notalk,FAIL,59026,52934 62763 240376
13051,tt0467197,Max Payne,15/00/2008,en,5.2,560,35000000,85416905,100,28,US CA,444 1838 2179 2724 2725 11995,2008,pass,PASS,12028,74129
39369,tt0986230,French Film,05/00/2008,en,6.1,5,0,0,87,10749 35,GB,5140 17643 30249 64890,2008,pass,PASS,1368293,84930
13253,tt1054486,Futurama: Bender's Game,03/00/2008,en,6.9,140,0,0,88,16 35 878,US,16323 29500,2008,notalk,FAIL,53216,
13090,tt0862846,Sunshine Cleaning,18/00/2008,en,6.5,229,5000000,16174377,102,35 18,US,7374 12807 12808,2008,pass,PASS,74152,
13058,tt1126596,Adulthood,16/00/2008,en,6.1,44,0,0,99,80 18,GB,1178 6359,2008,men,FAIL,76242,76242
12178,tt0970468,Miss Pettigrew Lives for a Day,07/00/2008,en,6.8,86,0,16051363,92,18 35 10749,GB US,3445 10146 16880 20899 56982,2008,pass,PASS,58005,57631 12996
21583,tt1082853,Management,08/00/2009,en,5.4,91,0,2434658,94,35 18 10749,US,737 7382 12292,2009,men,FAIL,87672,87672
8617,tt0926129,Prom Night,10/00/2008,en,4.7,147,0,14796236,88,80 27,US,2514,2008,pass,PASS,45627,52371
13964,tt1050160,The Machine Girl,07/00/2008,ja,6.4,64,0,0,96,28 12 35 80 27 53,JP US,4647,2008,pass,PASS,76171,76171
13635,tt1259014,Mesrine: Killer Instinct,22/00/2008,fr,7.3,219,0,31055440,113,18 28 53 80,CA FR IT,1992 1996 4298,2008,notalk,FAIL,58324,938544
9017,tt0892899,Outpost,11/00/2007,en,6.0,73,0,0,90,28 12 27,GB,12696 12977,2007,nowomen,FAIL,56635,56636
12412,tt1046997,Miracle at St. Anna,15/00/2008,en,6.4,81,45000000,9323833,160,18 10752,IT US,2683 4319 9195 20341,2008,men,FAIL,5281,72135
18533,tt1172570,Bronson,09/00/2008,en,6.9,662,0,0,92,18 28 80,GB,1917 3272 10393 11366 11367 11368,2008,notalk,FAIL,21183,21183 83228
6968,tt0765432,The Baader Meinhof Complex,24/00/2008,de,7.0,145,27000000,0,150,28 80 18 36 53,CZ FR DE,753 986 5755 7025 7201 7333 19477 73872,2008,pass,PASS,15868,15868 673
12177,tt0811138,The Love Guru,20/00/2008,en,4.3,225,62000000,41819064,87,35 10749,US GB DE,4 11843 15742,2008,notalk,FAIL,71527,12073 71528
1729,tt0865556,The Forbidden Kingdom,18/00/2008,en,6.3,409,55000000,127906624,104,28 12 14,CN US,877 2269 3393 7295,2008,notalk,FAIL,18898,20801
8909,tt0493464,Wanted,19/00/2008,en,6.4,2315,75000000,258270008,110,28 53 80,DE US,33 158 1038 2526 2527 2528 7295 23955 76043,2008,notalk,FAIL,23430,8161 7865 58191
13944,tt0449487,Passengers,26/00/2008,en,5.7,188,25000000,2000000,93,18 9648 53 10749,CA US,559 771 810 830 22541,2008,pass,PASS,77162,
26235,tt0447166,The Gamers: Dorkness Rising,01/00/2008,en,7.5,13,0,0,105,12 35 14,US,3047,2008,pass,PASS,114109,
13223,tt1205489,Gran Torino,09/00/2008,en,7.8,2773,33000000,269958228,116,18,US DE,79 171 975 6194 10138 27351 27352,2008,men,FAIL,190,74315
63597,tt1286742,Clash of the Santas,21/00/2008,en,0.0,0,0,0,93,,,,2008,pass,PASS,,
20764,tt0804529,Sleep Dealer,10/00/2008,en,6.0,38,2500000,107559,90,18 878 53,MX US,1785,2008,nowomen,FAIL,91252,91252 1053508
7735,tt1063669,The Wave,11/00/2008,de,7.4,732,7500000,19000000,107,18 53,DE,5755,2008,pass,PASS,52961,4918 52961
7555,tt0462499,Rambo,24/00/2008,en,6.4,909,50000000,113244290,92,28 53,DE US,925 1632 10254 10405 20363,2008,nowomen,FAIL,16483,52943 16483
19703,tt1280558,A Wednesday!,05/00/2008,hi,6.8,52,1400000,3500000,103,28 18,IN,2320,2008,notalk,FAIL,123219,123219 123219
7346,tt0491044,Sparrow,19/00/2008,cn,6.5,20,0,0,87,53,HK,5632,2008,nowomen,FAIL,25236,52569 64421
96918,tt1226291,Blind Loves,06/00/2008,sk,5.5,2,0,0,77,99,SK,27635,2008,men,FAIL,1011168,1011168 1188835
10360,tt0986233,Hunger,15/00/2008,en,7.1,277,0,2724474,96,18 36,GB,2600,2008,nowomen,FAIL,,
15179,tt1067733,"Patrik, Age 1.5",12/00/2008,sv,6.4,29,0,56299,103,18 35,SE,2669 3221 7937,2008,notalk,FAIL,79272,
34883,tt1103193,My Prison Yard,26/00/2008,es,8.0,1,0,0,99,18,ES,,2008,pass,PASS,113406,113407
7191,tt1060277,Cloverfield,15/00/2008,en,6.4,2054,25000000,170764026,85,28 53 878,US,4 11461,2008,pass,PASS,32278,47506
13812,tt1082868,Quarantine,10/00/2008,en,5.5,304,12000000,40855419,89,27 878 53,US,829 3287 22791,2008,pass,PASS,77147,77147 142520
8390,tt0832266,"Definitely, Maybe",08/00/2008,en,6.7,567,0,55447968,112,35 10749,FR DE GB US,33 694 10163 49123,2008,pass,PASS,16328,16328
1726,tt0371746,Iron Man,30/00/2008,en,7.3,8022,140000000,585174222,126,28 878 12,US,420,2008,men,FAIL,15277,18873 18875
16166,tt1124394,Sauna,25/00/2010,fi,6.4,30,0,0,85,27,CZ FI,3154,2010,notalk,FAIL,72480,
88751,tt0373051,Journey to the Center of the Earth,10/00/2008,en,5.8,1132,45000000,101702060,93,28 878 12 35 10751,US,12 10221,2008,notalk,FAIL,9622,33287 66218 66219
17631,tt1277728,Mid-August Lunch,30/00/2008,it,6.9,23,0,0,75,18 35 10769,IT,53334,2008,pass,PASS,72769,72769 72769 118660
23963,tt1226681,Pontypool,06/00/2009,en,6.6,165,1500000,32000,93,27 9648 878,CA,12975 12976,2009,nowomen,FAIL,55189,90684
14061,tt0819714,The Edge of Love,15/00/2008,en,6.1,77,0,0,110,18 36 10749,GB,288 826 2422,2008,pass,PASS,40307,77457
21194,tt1049948,Casi Divas,21/00/2008,en,7.0,3,0,0,107,35,MX,3928,2008,pass,PASS,964037,964037
8882,tt0929425,Gomorrah,16/00/2008,it,6.6,202,0,0,135,18 80,IT,2441 2683 10932,2008,notalk,FAIL,63973,72767 72768 72769 63973 72766
13387,tt1129442,Transporter 3,26/00/2008,en,5.9,1010,30000000,108979549,104,28 12 53 80,FR GB,1075 3823 6877 6896,2008,nowomen,FAIL,75035,
12085,tt0951216,Mad Money,17/00/2008,en,5.8,121,0,0,104,28 35 80,US,10254 52046,2008,pass,PASS,17397,48137
5038,tt0497465,Vicky Cristina Barcelona,15/00/2008,en,6.7,908,15000000,96408652,96,18 10749,ES US,308 1824 6538 8530 11737 12010,2008,pass,PASS,1243,1243
16005,tt0981072,The Lucky Ones,26/00/2008,en,6.3,53,0,0,113,35 18 36,US,,2008,pass,PASS,17329,17329 79028
38846,tt1263778,The Beautiful Person,12/00/2008,fr,6.3,30,0,0,97,18,FR,6111 29378,2008,pass,PASS,76910,76910 50538
4148,tt0959337,Revolutionary Road,19/00/2008,en,6.7,720,35000000,75225693,119,18 10749,GB US,27 258 288 1522 1550 11843,2008,pass,PASS,39,66721
14438,tt1129423,Fireproof,26/00/2008,en,7.0,89,500000,33456317,122,18,US,3290 3291 9118 10156 41967,2008,men,FAIL,78040,
13094,tt0926063,Dance of the Dead,14/00/2008,en,6.1,58,0,0,87,35 27,US,4322,2008,notalk,FAIL,144232,450952
13310,tt1139797,Let the Right One In,26/00/2008,sv,7.5,915,4000000,10785801,115,27 18,SE,3576,2008,notalk,FAIL,74396,74397
11631,tt0795421,Mamma Mia!,30/00/2008,en,6.4,1246,52000000,609841637,108,35 10749,DE GB US,33 2655 4171 7295 34441,2008,pass,PASS,71068,71069
8885,tt1185616,Waltz with Bashir,04/00/2008,en,7.7,274,2000000,11125849,90,18 16 10752,IL FR DE,1848 17931 17932,2008,nowomen,FAIL,56198,56198
13971,tt1024255,Wild Child,01/00/2008,en,6.4,352,0,0,98,35 18 10751,FR GB US,33 5870 7295 10163,2008,pass,PASS,3310,1130142
9539,tt1029234,Martyrs,03/00/2008,fr,7.3,510,6500000,0,99,27 18 53,CA FR,616 856 2578 5358 6301 22029,2008,pass,PASS,59611,59611
33788,tt0368563,Possession,16/00/2009,en,5.2,32,0,0,86,18 53 10749,US,829 2448 14739 22636,2009,pass,PASS,111388 111389,
11321,tt0814314,Seven Pounds,18/00/2008,en,7.5,1800,55000000,168167691,123,18,US,5 1423 7295 12485,2008,pass,PASS,20646,70305
2253,tt0985699,Valkyrie,25/00/2008,en,6.7,1083,75000000,200276000,121,18 53 36 10752,DE US,60 6100 8411 9168,2008,notalk,FAIL,9032,9033 23228
58391,tt1270769,Kolme viisasta miestä,14/00/2008,fi,5.0,1,0,0,0,18 10769,FI,1497,2008,notalk,FAIL,54767,54767 1261453
11127,tt0844760,Starship Troopers 3: Marauder,19/00/2008,en,4.2,135,9000000,0,105,12 878 28,US ZA DE,2266 3299 4792 5388,2008,pass,PASS,7722,7722
